Filename, Temp, Humidity, Pressure, yaw, pitch, roll, mag_x, mag_y, mag_z, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z, datetime, gps_lattitude, gps_longitude, whatispicture 
10001, 37.30357360839844, 28.73601531982422, 996.810302734375, 3.9538846661727227, 62.03745392925609, 122.99659857348557, -3.963944911956787, -22.39340591430664, -2.8552868366241455, -0.004689877387136221, 0.030834658071398735, 0.015352901071310043, 0.22611819207668304, 0.07992690056562424, 0.0015202900394797325, '2018-04-28 06:34:43.918754', -18:37:29.2, 148:08:51.5, UNKNOWN
10002, 37.41741180419922, 28.46147346496582, 996.837158203125, 333.8663865467579, 223.63480876783186, 145.55568887366218, -4.838014125823975, -28.81641960144043, -4.995580196380615, -0.002221520757302642, 0.030106279999017715, 0.018520960584282875, 0.22703446447849274, 0.07839974015951157, 0.0012148581445217133, '2018-04-28 06:35:16.939860', -20:16:51.8, 149:32:26.1, UNKNOWN
10003, 37.265625, 28.94377899169922, 996.807373046875, 0.029414209660659912, 37.58433851185659, 116.66260898629591, -4.050327301025391, -29.893590927124023, -5.759787082672119, -0.0034556991886347532, 0.030349070206284523, 0.01730247773230076, 0.22611819207668304, 0.08084319531917572, 0.0006039924919605255, '2018-04-28 06:35:50.005861', -21:52:31.6, 150:55:26.5, UNKNOWN
10004, 37.265625, 28.799087524414062, 996.806884765625, 349.94794315037416, 174.41327909810107, 153.17868542139502, -2.988978385925293, -29.531829833984375, -7.472902297973633, -0.0034556991886347532, 0.030349070206284523, 0.01437811367213726, 0.2230638563632965, 0.08084319531917572, -0.001228603534400463, '2018-04-28 06:36:23.098899', -23:27:19.5, 152:20:29.9, UNKNOWN
10005, 37.36048889160156, 27.882705688476562, 996.7724609375, 338.5463672792535, 332.5594810754947, 116.10641302180343, -2.7127468585968018, -29.290788650512695, -8.66242504119873, -0.003208863316103816, 0.031077450141310692, 0.015352901071310043, 0.2239801436662674, 0.08084319531917572, 0.0012148581445217133, '2018-04-28 06:36:56.130379', -25:01:10.0, 153:47:48.1, UNKNOWN
10006, 37.3984375, 27.47460174560547, 996.791259765625, 4.9859330799508195, 120.02591707701525, 144.24519413799018, -2.0210342407226562, -29.133838653564453, -9.538081169128418, -0.0024683563970029354, 0.031077450141310692, 0.016815081238746643, 0.23008881509304047, 0.07839974015951157, -0.0015340354293584824, '2018-04-28 06:37:29.265005', -26:33:57.4, 155:17:33.2, UNKNOWN
10007, 37.49330139160156, 28.531963348388672, 996.779541015625, 329.90252895062326, 279.70831909875125, 132.22709380275924, -1.1900230646133423, -28.573841094970703, -10.779714584350586, -0.0034556991886347532, 0.0313202403485775, 0.017058778554201126, 0.23039422929286957, 0.07870516926050186, 0.0006039924919605255, '2018-04-28 06:38:02.319666', -28:05:35.3, 156:49:58.1, UNKNOWN
10008, 37.34151840209961, 28.687786102294922, 996.8076171875, 8.356350543822495, 78.4745705442694, 133.23186927118147, 0.1065625548362732, -28.96416473388672, -11.766733169555664, -0.003949370235204697, 0.02986348792910576, 0.017058778554201126, 0.2282562106847763, 0.08145406097173691, -0.0006177378818392754, '2018-04-28 06:38:35.387035', -29:35:57.2, 158:25:16.0, UNKNOWN
10009, 37.37946319580078, 29.22945213317871, 996.82861328125, 332.51578323273225, 239.05972549879516, 147.25053201430916, 0.45560529828071594, -28.454479217529297, -12.030240058898926, -0.002715192036703229, 0.030834658071398735, 0.018520960584282875, 0.22459101676940918, 0.07962147146463394, -6.872229278087616e-06, '2018-04-28 06:39:08.342216', -31:04:55.7, 160:03:40.6, UNKNOWN
10010, 37.3984375, 28.52454376220703, 996.818359375, 2.9140756633936107, 48.40197162875528, 126.11018128777091, 1.650352120399475, -27.852489471435547, -13.104676246643066, -0.0037025348283350468, 0.03204862028360367, 0.017546173185110092, 0.2282562106847763, 0.08023233711719513, 0.0009094253182411194, '2018-04-28 06:39:41.280924', -32:32:23.1, 161:45:26.2, UNKNOWN
10011, 37.43638610839844, 28.539382934570312, 996.8330078125, 340.71572927475063, 211.34074146937573, 153.84740192227426, 2.5845863819122314, -27.22926902770996, -14.315537452697754, -0.005677219945937395, 0.031077450141310692, 0.01803356595337391, 0.2285616248846054, 0.07839974015951157, 0.0012148581445217133, '2018-04-28 06:40:14.234659', -33:58:11.1, 163:30:47.5, UNKNOWN
10012, 37.36048889160156, 28.557933807373047, 996.822509765625, 0.02464076120446725, 23.01464001215437, 115.28284247206163, 3.047433853149414, -27.156618118286133, -14.960740089416504, -0.0024683563970029354, 0.030349070206284523, 0.01584029383957386, 0.22978337109088898, 0.08053776621818542, -0.0003123050555586815, '2018-04-28 06:40:47.010979', -35:22:10.6, 165:19:59.3, UNKNOWN
10013, 37.45535659790039, 28.394691467285156, 996.833984375, 342.44871048417565, 170.0586783323811, 162.22270282594897, 3.291633129119873, -26.87710189819336, -14.785760879516602, -0.0029620276764035225, 0.030834658071398735, 0.01584029383957386, 0.22611819207668304, 0.08053776621818542, 0.00029855966567993164, '2018-04-28 06:41:19.750061', -36:44:12.1, 167:13:16.9, UNKNOWN
10014, 37.43638610839844, 28.606164932250977, 996.818603515625, 317.49200351172385, 341.9697383459866, 111.49944359644066, 4.2903947830200195, -26.458396911621094, -16.008773803710938, -0.0029620276764035225, 0.032291412353515625, 0.01657138578593731, 0.2291725128889084, 0.07778887450695038, 0.002436588518321514, '2018-04-28 06:41:52.478449', -38:01:41.7, 169:07:17.4, UNKNOWN
